date,temperature,temp_max,temp_min,precipitation,humidity,wind_speed,temp_roll7,temp_roll30,temp_roll_std7,temp_zscore_rolling
2025-01-28,17.37,18.59,16.55,0.01,65.2,5.06,16.947142857142858,17.006666666666668,0.2615794516462832,0.8100100121032144
2025-01-29,17.51,19.28,16.03,0.0,63.54,4.87,17.01142857142857,17.06433333333333,0.3380546588655556,0.9938571261671213
2025-01-30,17.37,19.25,15.94,0.0,69.75,4.01,17.12,17.105,0.30838287890177046,0.9372161853156868
2025-01-31,16.7,18.46,15.32,0.0,70.47,4.23,17.07857142857143,17.104666666666667,0.3459493494439622,0.3656658379759361
2025-02-01,16.46,18.22,15.2,0.0,76.77,3.2,16.991428571428575,17.109333333333332,0.4178288553710834,0.21454860827535172
2025-02-02,16.72,18.55,15.21,0.0,71.64,3.56,17.0,17.12066666666667,0.4104469108988679,0.5383560906399018
2025-02-03,17.02,18.45,15.88,0.0,73.22,2.8,17.02142857142857,17.122999999999998,0.40642459618077575,0.8439436071597209
2025-02-04,16.31,18.0,15.13,0.0,74.72,2.6,16.87,17.081666666666663,0.45003703551275015,0.11624059518265532
2025-02-05,16.44,18.55,14.92,0.21,68.06,8.22,16.717142857142857,17.050333333333334,0.37124629226915773,0.24351293109102362
2025-02-06,14.74,16.22,13.31,0.04,56.5,9.4,16.341428571428573,16.957,0.744052609506958,-1.3941141119398004
2025-02-07,14.36,15.77,13.12,0.21,60.53,5.97,16.007142857142856,16.862666666666666,1.0276950631666033,-1.6251688096301466
2025-02-08,14.47,16.02,13.24,0.06,55.66,3.19,15.722857142857142,16.765,1.1495609928100268,-1.3261120487303693
2025-02-09,14.88,16.61,13.54,1.06,64.82,4.52,15.459999999999999,16.698,1.0925047673427315,-0.7230653853830434
2025-02-10,15.37,17.24,13.87,0.19,62.96,4.43,15.224285714285715,16.631666666666668,0.8511728602905495,-0.2165958943601061
2025-02-11,15.69,17.45,14.57,0.09,61.39,4.89,15.135714285714286,16.582666666666668,0.7450023969280498,0.10767546898225715
2025-02-12,14.78,16.04,13.62,0.05,63.4,6.08,14.89857142857143,16.499666666666666,0.47642518025493624,-0.4458578697544519
2025-02-13,14.49,16.14,13.31,0.0,62.37,5.89,14.862857142857141,16.387999999999998,0.49912304046578526,-0.6068783311039215
2025-02-14,14.64,16.43,13.43,0.0,63.15,3.48,14.902857142857142,16.30366666666667,0.46194207016732264,-0.4772619152820841
2025-02-15,15.86,17.97,13.81,0.0,64.91,4.23,15.10142857142857,16.236,0.5374454568117494,0.4663689798486734
2025-02-16,16.56,18.45,15.2,0.0,66.83,3.55,15.34142857142857,16.186999999999998,0.7536893385524039,1.011580242452314
2025-02-17,16.76,20.22,13.27,0.0,63.06,2.68,15.540000000000001,16.185333333333332,0.9259049627256123,1.1457034945827456
2025-02-18,16.97,20.78,13.44,0.0,61.17,3.53,15.722857142857142,16.194333333333333,1.0748754080622729,1.3205402554566295
2025-02-19,16.71,18.08,15.79,0.03,71.32,3.48,15.998571428571427,16.197333333333333,1.0396702774024784,1.1121504242001845
2025-02-20,15.14,16.65,13.53,0.41,69.13,6.45,16.091428571428573,16.15266666666667,0.9024490488188986,-0.10101127343892242
2025-02-21,14.38,15.87,13.23,0.28,58.75,4.17,16.054285714285715,16.063333333333336,0.9746085905437928,-0.6593361094805402
2025-02-22,13.69,15.39,11.92,1.02,64.12,5.7,15.744285714285715,15.966000000000001,1.3278159654466914,-1.1700342657473406
2025-02-23,12.36,13.39,11.64,0.15,63.0,5.65,15.144285714285715,15.811666666666666,1.7723135270304753,-2.1027680406126956
2025-02-24,12.78,14.21,11.69,1.32,62.15,4.95,14.575714285714286,15.668666666666667,1.8056841468250397,-1.8559706733541839
2025-02-25,12.52,14.1,11.32,0.0,58.65,3.65,13.94,15.530666666666667,1.5930787802240385,-2.04949433246721
2025-02-26,14.13,16.0,12.03,0.0,61.49,3.89,13.571428571428571,15.439333333333334,1.0519573592662579,-1.0215399218797603
2025-02-27,15.01,16.92,13.09,0.0,64.97,3.67,13.552857142857144,15.360666666666667,1.0203220780014994,-0.5115990752901902
2025-02-28,15.61,17.46,13.98,0.0,65.09,2.64,13.728571428571428,15.297333333333333,1.2634533175841596,-0.25950350291320384
2025-03-01,15.73,17.72,13.77,0.0,71.1,3.58,14.02,15.242666666666668,1.471257965144148,-0.2784987341438542
2025-03-02,16.38,18.42,14.84,0.0,71.09,3.41,14.594285714285714,15.232,1.4996094729724136,-0.06286308459346143
2025-03-03,16.78,18.01,15.52,0.0,70.3,3.23,15.165714285714285,15.242666666666667,1.4544742136233282,0.021920856678602843
2025-03-04,16.45,17.94,14.95,0.16,71.95,3.8,15.727142857142857,15.233666666666666,0.9252155476015861,-0.15078880017805457
2025-03-05,17.18,18.92,15.74,0.12,74.88,4.17,16.162857142857142,15.239,0.7491264754300957,0.1249152224435788
2025-03-06,17.5,19.4,16.27,1.08,73.73,3.81,16.518571428571427,15.278666666666668,0.7000340127789629,0.2666896464242889
2025-03-07,17.47,19.46,15.5,0.03,74.73,4.01,16.784285714285712,15.312999999999999,0.6488157710488172,0.270343095039143
2025-03-08,17.52,19.93,15.7,0.01,72.18,4.2,17.04,15.405666666666665,0.4996331987899422,0.2907611632521098
2025-03-09,17.41,19.53,15.89,0.0,65.36,2.16,17.187142857142856,15.507333333333333,0.4178402519985312,0.22055283395447015
2025-03-10,17.4,20.0,15.11,0.0,70.45,2.49,17.275714285714283,15.604999999999999,0.3812635633805239,0.17368667268182875
2025-03-11,17.21,19.53,15.43,0.0,75.9,3.24,17.384285714285713,15.682666666666668,0.13673053095390195,0.009329255564536785
2025-03-12,18.38,21.25,15.67,0.0,80.71,4.4,17.555714285714284,15.783,0.37775023242205635,0.4626826296474519
2025-03-13,20.01,23.98,17.54,0.0,73.88,3.65,17.914285714285715,15.927,0.9980457094216089,1.1361093607917516
2025-03-14,20.62,23.69,18.58,0.0,74.66,3.0,18.364285714285717,16.121666666666666,1.3953835451569716,1.3544116463292184
2025-03-15,20.05,22.8,17.5,0.0,76.01,4.14,18.725714285714282,16.307000000000002,1.4661156973768485,1.0621532262412254
2025-03-16,21.01,24.49,18.12,0.0,75.02,3.73,19.240000000000002,16.519333333333332,1.5562990286786729,1.534383994711857
2025-03-17,22.08,28.33,18.52,0.05,69.82,2.16,19.90857142857143,16.726666666666667,1.6372479813334306,1.9786525486641668
2025-03-18,19.5,21.25,17.6,0.03,74.37,5.24,20.235714285714288,16.824666666666666,1.1703967581243462,0.536927102369129
2025-03-19,18.07,21.21,15.68,0.13,66.18,7.1,20.19142857142857,16.868333333333332,1.2551152479807173,-0.26230190571209094
2025-03-20,15.91,17.64,14.16,0.04,57.95,9.28,19.60571428571429,16.833000000000002,2.055406343790617,-1.4730966357435435
2025-03-21,15.43,17.6,13.98,0.3,56.8,5.81,18.86428571428571,16.790333333333333,2.5135622606362453,-1.7525349902954555
2025-03-22,15.09,16.5,13.63,0.01,61.38,4.12,18.155714285714286,16.788666666666664,2.8057313790575535,-1.9751820279323533
2025-03-23,16.65,18.89,14.55,0.0,59.99,3.69,17.532857142857143,16.86433333333333,2.5376282515090423,-1.1739361427059627
2025-03-24,17.25,19.14,15.09,0.0,68.34,5.09,16.842857142857145,16.983,1.5656810476137584,-0.8904509318967009
2025-03-25,18.54,21.41,16.75,0.0,71.84,4.85,16.705714285714286,17.189000000000004,1.316331482350992,-0.25477691867778884
2025-03-26,19.13,22.06,16.87,0.0,77.72,4.36,16.857142857142858,17.400666666666666,1.5411977407815804,0.03502612822241611
2025-03-27,21.47,26.27,17.7,0.0,65.95,2.61,17.65142857142857,17.699,2.244136274615983,1.2955664037765877
