,temperature,hour,day_of_week,month,is_weekend,month_sin,month_cos,lag_1,lag_24,lag_168,rolling_mean_24,rolling_std_24,rolling_mean_168,rolling_std_168
2022-08-18,20.75,0,3,8,0,-0.8660254037844385,-0.5000000000000004,18.75,19.21,7.37,20.620833333333334,2.2793475738287374,14.021964285714287,5.317063398563682
2022-08-19,20.01,0,4,8,0,-0.8660254037844385,-0.5000000000000004,20.75,17.27,6.28,20.685,2.259493979518063,14.10160714285714,5.317036490597356
2022-08-20,18.67,0,5,8,1,-0.8660254037844385,-0.5000000000000004,20.01,17.32,4.74,20.799166666666668,2.1458026098827974,14.183333333333334,5.301590504390873
2022-08-21,18.72,0,6,8,1,-0.8660254037844385,-0.5000000000000004,18.67,17.5,4.0,20.855416666666667,2.0668774582776663,14.26625,5.261795723565
2022-08-22,19.17,0,0,8,0,-0.8660254037844385,-0.5000000000000004,18.72,19.82,3.37,20.90625,1.994500727544121,14.353869047619046,5.212143113829107
2022-08-23,21.43,0,1,8,0,-0.8660254037844385,-0.5000000000000004,19.17,20.88,4.87,20.879166666666666,2.014208047340475,14.447916666666666,5.154997906707979
2022-08-24,22.25,0,2,8,0,-0.8660254037844385,-0.5000000000000004,21.43,22.13,8.23,20.902083333333334,2.017344313623795,14.546488095238095,5.129017617868776
2022-08-25,18.12,0,3,8,0,-0.8660254037844385,-0.5000000000000004,22.25,21.12,9.55,20.907083333333336,2.0206660098067966,14.629940476190475,5.139675016756682
2022-08-26,18.32,0,4,8,0,-0.8660254037844385,-0.5000000000000004,18.12,22.43,8.65,20.782083333333336,2.0982248794940093,14.680952380952382,5.131476686077288
2022-08-27,18.9,0,5,8,1,-0.8660254037844385,-0.5000000000000004,18.32,22.56,9.03,20.610833333333336,2.125425618075383,14.738511904761904,5.1176380030631625
2022-08-28,17.88,0,6,8,1,-0.8660254037844385,-0.5000000000000004,18.9,19.71,8.06,20.458333333333332,2.1107440820028973,14.797261904761905,5.108357330260859
2022-08-29,17.6,0,0,8,0,-0.8660254037844385,-0.5000000000000004,17.88,17.32,7.27,20.382083333333334,2.1711427148867726,14.855714285714287,5.086942374381069
2022-08-30,17.65,0,1,8,0,-0.8660254037844385,-0.5000000000000004,17.6,17.34,8.22,20.39375,2.154662916237434,14.917202380952382,5.057045233900802
2022-08-31,17.8,0,2,8,0,-0.8660254037844385,-0.5000000000000004,17.65,19.98,8.4,20.406666666666666,2.136412406586004,14.973333333333333,5.034548504356129
2022-09-01,19.0,0,3,9,0,-1.0,-1.8369701987210297e-16,17.8,21.13,6.68,20.315833333333334,2.2007171097398133,15.029285714285711,5.013246354179979
2022-09-02,19.18,0,4,9,0,-1.0,-1.8369701987210297e-16,19.0,20.66,8.36,20.227083333333333,2.2093880308842535,15.102619047619047,4.9803826222075624
2022-09-03,19.03,0,5,9,1,-1.0,-1.8369701987210297e-16,19.18,21.82,8.44,20.16541666666667,2.217419140561306,15.167023809523808,4.962595727914083
2022-09-04,19.63,0,6,9,1,-1.0,-1.8369701987210297e-16,19.03,23.09,5.95,20.049166666666668,2.1999701908389158,15.230059523809524,4.943858889066165
2022-09-05,19.32,0,0,9,0,-1.0,-1.8369701987210297e-16,19.63,23.67,7.14,19.904999999999998,2.1032810806803566,15.311488095238095,4.90258194713361
2022-09-06,17.75,0,1,9,0,-1.0,-1.8369701987210297e-16,19.32,24.15,10.53,19.72375,1.9462981864130897,15.383988095238097,4.870975155953607
2022-09-07,18.15,0,2,9,0,-1.0,-1.8369701987210297e-16,17.75,24.15,10.33,19.457083333333333,1.7411027968719883,15.426964285714286,4.859730132095881
2022-09-08,16.8,0,3,9,0,-1.0,-1.8369701987210297e-16,18.15,23.12,9.75,19.207083333333333,1.4432465792115685,15.473511904761903,4.848054754028772
2022-09-09,16.57,0,4,9,0,-1.0,-1.8369701987210297e-16,16.8,19.77,8.39,18.94375,1.263655196848347,15.515476190476189,4.828689313928536
2022-09-10,16.71,0,5,9,1,-1.0,-1.8369701987210297e-16,16.57,18.75,8.78,18.810416666666665,1.3392453396261044,15.564166666666669,4.797550200274267
2022-09-11,17.58,0,6,9,1,-1.0,-1.8369701987210297e-16,16.71,20.75,8.36,18.725416666666664,1.4063056108167198,15.611369047619048,4.769330151135815
2022-09-12,17.265,0,0,9,0,-1.0,-1.8369701987210297e-16,17.58,20.01,8.59,18.59333333333333,1.355846171429416,15.666250000000002,4.738335401830423
2022-09-13,16.95,0,1,9,0,-1.0,-1.8369701987210297e-16,17.265,18.67,8.24,18.478958333333335,1.3468949631158185,15.717886904761905,4.707930037567449
2022-09-14,16.46,0,2,9,0,-1.0,-1.8369701987210297e-16,16.95,18.72,6.9,18.40729166666667,1.3816003473970437,15.76973214285714,4.672916496206357
2022-09-15,14.31,0,3,9,0,-1.0,-1.8369701987210297e-16,16.46,19.17,2.54,18.313125,1.4353334807935934,15.826636904761905,4.622191411248852
2022-09-16,11.64,0,4,9,0,-1.0,-1.8369701987210297e-16,14.31,21.43,2.8,18.110625,1.637745210647888,15.896696428571428,4.5073712026845
