date,temp_max,temp_min,temp_mean,precipitation,humidity
2024-05-01,32.39,16.85,23.74,0.0,53.67
2024-05-02,32.19,15.19,23.3,0.0,50.3
2024-05-03,33.11,17.13,24.42,0.0,42.02
2024-05-04,32.12,15.11,23.28,0.0,53.56
2024-05-05,28.6,16.2,21.57,0.0,52.35
2024-05-06,28.39,14.04,20.95,0.0,54.32
2024-05-07,29.5,12.75,21.14,0.0,45.83
2024-05-08,31.3,13.37,22.35,0.0,38.58
2024-05-09,36.78,14.72,26.75,0.0,31.88
2024-05-10,37.29,21.67,28.19,0.0,18.26
2024-05-11,31.78,18.19,24.41,0.0,44.12
2024-05-12,30.22,16.43,22.91,0.0,54.18
2024-05-13,29.23,14.91,21.43,0.0,53.18
2024-05-14,30.68,13.67,22.06,0.0,47.15
2024-05-15,31.68,13.92,22.86,0.0,45.02
2024-05-16,34.39,15.22,24.86,0.0,39.08
2024-05-17,37.53,18.05,27.85,0.0,27.57
2024-05-18,40.82,22.36,31.17,0.0,21.76
2024-05-19,39.27,22.94,30.74,0.0,22.91
2024-05-20,42.58,23.48,32.68,0.0,22.22
2024-05-21,39.82,22.32,30.81,0.0,27.64
2024-05-22,40.47,21.37,31.13,0.0,26.56
2024-05-23,40.54,22.51,31.1,0.0,26.68
2024-05-24,34.19,18.24,25.73,0.0,43.1
2024-05-25,34.31,16.48,25.38,1.16,44.29
2024-05-26,37.72,18.67,28.81,0.0,28.45
2024-05-27,34.74,20.67,28.22,0.0,35.06
